,,,,accuracy,precision,recall,f1
100,2,0.1,0.8,0.798528672,0.538197519,0.277240861,0.360446267
100,2,0.1,1.2,0.796180464,0.530764194,0.231756625,0.318821501
100,2,0.3,0.8,0.786788018,0.477384832,0.275753101,0.349140579
100,2,0.3,1.2,0.796415261,0.536175535,0.152496227,0.236819789
100,3,0.1,0.8,0.79477183,0.514982249,0.313672685,0.38758992
100,3,0.1,1.2,0.799076936,0.539280269,0.266895906,0.353518995
100,3,0.3,0.8,0.790153937,0.491147376,0.269438235,0.346753692
100,3,0.3,1.2,0.790623071,0.49945189,0.254409405,0.331729356
100,4,0.1,0.8,0.793832624,0.508263975,0.33622569,0.40304746
100,4,0.1,1.2,0.79242331,0.523155441,0.254608084,0.325635208
100,4,0.3,0.8,0.78788337,0.49771031,0.334572349,0.390932034
100,4,0.3,1.2,0.787728088,0.518119249,0.284730492,0.348553108
250,2,0.1,0.8,0.800563266,0.529590059,0.365871287,0.431942105
250,2,0.1,1.2,0.799859813,0.530187919,0.332225874,0.405482813
250,2,0.3,0.8,0.794144657,0.526079948,0.254797216,0.331491328
250,2,0.3,1.2,0.795475338,0.527889961,0.25757346,0.340441647
250,3,0.1,0.8,0.792736685,0.501695722,0.348680903,0.411313742
250,3,0.1,1.2,0.789292335,0.491252774,0.360598536,0.415150057
250,3,0.3,0.8,0.783968967,0.48195124,0.377309726,0.418339308
250,3,0.3,1.2,0.773167262,0.465415701,0.428391591,0.43322482
250,4,0.1,0.8,0.793206186,0.503288226,0.327925673,0.396774131
250,4,0.1,1.2,0.795789688,0.515062152,0.336028602,0.403675114
250,4,0.3,0.8,0.779037736,0.46864388,0.397165871,0.425634054
250,4,0.3,1.2,0.769412404,0.44695048,0.459365252,0.450819727
500,2,0.1,0.8,0.798215058,0.520500932,0.39370188,0.44735212
500,2,0.1,1.2,0.780446848,0.470281699,0.423994643,0.445161687
500,2,0.3,0.8,0.77747382,0.470105205,0.403730701,0.421976066
500,2,0.3,1.2,0.782325352,0.47641664,0.416210539,0.442024736
500,3,0.1,0.8,0.785456915,0.48334115,0.442318802,0.461243124
500,3,0.1,1.2,0.789136282,0.492238548,0.402229573,0.441188256
500,3,0.3,0.8,0.752268426,0.42603919,0.532509048,0.471418566
500,3,0.3,1.2,0.757278235,0.431816535,0.512707734,0.467218363
500,4,0.1,0.8,0.794614563,0.509781398,0.397489765,0.443430638
500,4,0.1,1.2,0.784282875,0.478988065,0.413401243,0.442976091
500,4,0.3,0.8,0.734266338,0.407667991,0.585927233,0.478408487
500,4,0.3,1.2,0.762524937,0.441217311,0.505242247,0.467140287
